,601698.XSHG,600760.XSHG,601166.XSHG,600585.XSHG,600563.XSHG,600588.XSHG,600170.XSHG,300113.XSHE,600482.XSHG,300017.XSHE,600196.XSHG,002250.XSHE,603899.XSHG,601216.XSHG,600900.XSHG,002602.XSHE,002001.XSHE,600118.XSHG,000869.XSHE,002049.XSHE,601077.XSHG,000156.XSHE,300271.XSHE,002422.XSHE,002028.XSHE,002221.XSHE,600811.XSHG,601838.XSHG,002027.XSHE,688029.XSHG,601933.XSHG,600737.XSHG,002958.XSHE,002416.XSHE,601108.XSHG,000778.XSHE,000050.XSHE,300257.XSHE,600011.XSHG,600507.XSHG,601988.XSHG,300630.XSHE,300285.XSHE,600741.XSHG,002074.XSHE,600398.XSHG,600511.XSHG,300002.XSHE,600109.XSHG,600808.XSHG,000728.XSHE,601003.XSHG,600019.XSHG,002739.XSHE,600258.XSHG,002705.XSHE,002038.XSHE,300088.XSHE,600208.XSHG,002601.XSHE,603379.XSHG,300142.XSHE,600999.XSHG,001979.XSHE,300136.XSHE,603000.XSHG,002191.XSHE,002353.XSHE,300166.XSHE,000776.XSHE,300450.XSHE,601288.XSHG,002075.XSHE,603486.XSHG,000629.XSHE,688208.XSHG,000975.XSHE,300253.XSHE,300296.XSHE,000656.XSHE,000559.XSHE,002460.XSHE,600177.XSHG,600260.XSHG,300595.XSHE,603225.XSHG,002558.XSHE,002180.XSHE,300212.XSHE,300122.XSHE,002839.XSHE,603939.XSHG,002385.XSHE,603019.XSHG,300498.XSHE,600928.XSHG,600521.XSHG,601168.XSHG,002155.XSHE,601568.XSHG
2020-05-18,0.18781730328665036,0.04773715105427986,0.00454253682419708,0.09546841960298526,0.029026528830686862,0.2850551591643428,0.007478328579316595,0.09415581352011727,0.01713883324441862,0.06555564689040934,0.06594196782486164,0.11237375724201758,0.19580262261522993,0.020024966336431884,0.007795062156615925,0.045330724817168086,0.0240948067908094,0.17773386846766626,0.06671545290027611,0.18494815746088303,0.004022055681177825,0.018912294501396084,0.03976405543709149,0.045949110124309425,0.18158537256714408,0.13400438657164465,0.029846254361002036,0.006311508485462998,0.18243984922678175,0.10754557777281647,0.029412527499510597,0.03404767769474305,0.001739445606471716,0.11605989573753175,0.038454896539233334,0.0077677045588296495,0.013089794959210041,0.02463754331192439,0.02172200058701139,0.1876552754780532,0.002724268387431533,0.15893981906970409,0.0694778233935526,0.22115144810503712,0.1724778759448015,0.022638193436108775,0.07490248575840289,0.5628899270777432,0.05403908585213564,0.04067383439998288,0.0077489545923117315,0.015575270817441601,0.006227140742762905,0.0594319545737521,0.03901445608476072,0.32853736932463523,0.015976604561647827,0.05693368079817255,0.013556250387264265,0.05386821188075133,0.058480123574089375,0.07618246369760057,0.0037144641876138054,0.025817890713147072,0.10315291526690283,0.13670960679221772,0.03103863590020217,0.10586742994139023,0.06941744416020132,0.006703888058540566,0.11315130415178362,0.002724268387431533,0.3468377688200081,0.23829397968605623,0.04336256088503733,0.13910048018040927,0.1771680920967877,0.07635299000126994,0.05308790971977485,0.06765053875372898,0.025537294667857317,0.3045575281483416,0.029150331259933118,0.24703820768897866,0.1893497801370308,0.023973747606888328,0.1043027734570968,0.1702211669643613,0.35890535149363134,0.034888059521438225,0.018472592581195605,0.14767417775204278,0.06076839788353091,0.15533153162393895,0.02839733030772288,0.001739445606471716,0.4119283009532514,0.025259128996796075,0.04580866150882949,
2020-05-19,0.1373115027468794,0.18179365647090087,0.008340696091566919,0.10544737556748476,0.03236698647436552,0.15567201212180384,0.044906409630088566,0.09958070895313124,0.03905515542471975,0.09785079626131865,0.05726728336974471,0.04622318390793074,0.0744148540854435,0.027344622298780787,0.011025785675688304,0.11063743114158602,0.041995051307459626,0.17494893022220354,0.22442786655794011,0.11872068560266709,0.018849380028694494,0.05848989828291838,0.08683186325996885,0.054985524835550824,0.14649401817739002,0.13482548171396802,0.13044044092762344,0.008340696091566919,0.11365784152105342,0.1481893628645411,0.054004970426899,0.05423053371233256,0.02193175330340073,0.16549882311154016,0.013022966943865576,0.013157976086368596,0.026248905459330233,0.040647095510584395,0.032016614571840345,0.16746803630313334,0.005966527050731211,0.11537761069226769,0.08779172450180614,0.08212672677671856,0.2692418184894166,0.01482358977700675,0.1602740359521134,0.46149176700658257,0.03888539295693461,0.012653807812022485,0.01378992959606429,0.015278861569850987,0.0929050486219827,0.13796276991852127,0.03906793824792625,0.17325828731622736,0.1360731016267175,0.12125234955885547,0.013351897812024992,0.03890635049258438,0.06647509707617943,0.07312760556403568,0.012291820841932708,0.011229534381474726,0.09181956189439801,0.11687979782011199,0.041687716598888966,0.10228880624823775,0.07579917694357187,0.006846360706484599,0.1816999677131019,0.10001382251145421,0.22470271811410583,0.35702104160086817,0.11550309910895483,0.08209517170472203,0.20689130000793346,0.09422167869863461,0.1354784202089399,0.02956549809926201,0.02651166569616715,0.33412698459974843,0.009519959852450953,0.17379443414836754,0.1559880437564549,0.059781402397131506,0.25522795211644705,0.11628776920234021,0.07169582496648448,0.13111780217199145,0.026950324196392754,0.2953474077912506,0.20168149093882112,0.2807789959298154,0.14360780537970935,0.008595481383352602,0.21682231824362572,0.12303978150784606,0.177012702558158,
2020-05-20,0.1600248086988471,0.28584483817043493,0.03706991089947972,0.037420448116402084,0.12973688505224196,0.1988515867249353,0.0824056831307247,0.1404320296593768,0.04489973356388286,0.06887498161159039,0.03802451260598972,0.04152640031655773,0.0940857341382149,0.012205084095450548,0.018485731911154473,0.09397700966268402,0.029702564804702958,0.10873859965556752,0.041935408138950296,0.12548335040750402,0.013032149792433305,0.058209737723257896,0.16431182919758178,0.04819933605141418,0.09805546853185843,0.10904612549487848,0.11355922883341864,0.00802930434870834,0.09655029659823712,0.13530873618643352,0.01753234368043454,0.03293250498313995,0.011066716614794005,0.13617320056068394,0.019491330662736377,0.008892084565129885,0.03327306793469411,0.030103701045706328,0.03382930954296285,0.07568693710516126,0.0033269198862585143,0.09698374498656717,0.07615680767707819,0.09870039610742458,0.43596458117865705,0.004196517824907568,0.08383296726166274,0.3565362460906503,0.029932502259939407,0.06987599486216746,0.01497947187528192,0.005920566377397376,0.005542871720971918,0.061133300812234274,0.031526132830242665,0.3144860923578306,0.16444602972102232,0.07629449967036599,0.08920549049212759,0.08150311379668522,0.1152812942068848,0.046174213828739936,0.00396838461933178,0.014717679125742724,0.24869469655141027,0.10650030500301792,0.03996076016966874,0.21759581971124525,0.08489630280275161,0.004396422799535352,0.09245146487919423,0.003199042648406852,0.17928645833118065,0.49322733705880323,0.04047451466625983,0.30732663347146205,0.15764905545062677,0.09874172385621195,0.16117905948314165,0.04932143097309442,0.01963849990161654,0.20559385107798017,0.010747886612911458,0.16627375629163643,0.1029654307341548,0.031325257591900316,0.06709046812829994,0.07341018863960576,0.06112886058560452,0.09546553419179167,0.011783944983554517,0.18979394560881793,0.14057804184244277,0.13488298739975468,0.10249421126966189,0.008815643038270475,0.2286137634620486,0.09343745551089312,0.2398869694457747,
2020-05-21,0.17501216113257168,0.24230681415491162,0.0028245823105383467,0.0255831578264567,0.08885870127636329,0.3102154117255536,0.02019596998615725,0.07964204280753713,0.05530102823860494,0.04892914833070667,0.036970600584934205,0.03863133202759925,0.10276038665756194,0.02971984668035512,0.013021119883263836,0.07240160695866434,0.0531486586195588,0.11360809218831146,0.08433952053697756,0.09839523977474594,0.043768244543703476,0.04829026506365856,0.0642023844643569,0.06109050954825652,0.21356067000717446,0.10229635008555692,0.08561968967377596,0.015588133386064677,0.10774138754553983,0.10995437869250133,0.020467111730087587,0.024196490039652255,0.022235180453025864,0.13600542585915681,0.02603598884595448,0.01177822317297863,0.02373516958244258,0.02012884990339784,0.08133739492954652,0.026784122866831826,0.009218037146604475,0.17134036634604677,0.04926196386972477,0.05945162567933803,0.16691929691162868,0.011788628320136824,0.17456206138138314,0.22112514921648196,0.04328575973465208,0.01177822317297863,0.011024979697258354,0.04017285742318879,0.010163946299967495,0.033942001074272796,0.0901595109869686,0.20232617748830908,0.032066236784759075,0.099207492503154,0.04041254868076252,0.05569905698999511,0.05021816498630163,0.09691713258666286,0.004438925414243152,0.012267865751774187,0.10842576932806845,0.09986509368002248,0.029824058098007797,0.0846445854216617,0.062440565908392975,0.01579739883541535,0.11840109423875123,0.10012712805569537,0.21263802901579015,0.4308859046082748,0.028559012497028777,0.27911279942484984,0.18550786827397683,0.09319979100337124,0.18552724629146325,0.02813177391701931,0.01822544958585318,0.20489178467871152,0.11846902285709876,0.17935788394812965,0.18274515798093638,0.038668028224729686,0.06531621994611063,0.06826807548839052,0.10642820420342768,0.21906031108605498,0.03922072632179258,0.10955585989059272,0.21367726823148178,0.25559836657640556,0.04336921351715972,0.020086178559778442,0.30024406493602207,0.01821255249752032,0.26231261399985834,
2020-05-22,0.17782822374393423,0.04178275149883731,0.002863226246005021,0.036585140180049575,0.1470802547559405,0.30306032151933066,0.005694218858103623,0.11527164363638905,0.04682814559048034,0.060988190884913064,0.04269912375744918,0.03453562194230337,0.2512400502117326,0.028750596167416664,0.018433277053442564,0.17481609511827562,0.025101011584160053,0.11854939160366913,0.09980715284337316,0.10956691620065788,0.014054405823685428,0.15446138939292003,0.16221792332373605,0.0746263074837652,0.11540732947978279,0.10145667693751256,0.16185004218103,0.002863226246005021,0.19028016729332844,0.1544393355406481,0.02979062292314321,0.05187922897761417,0.007628136366174226,0.0583403022753714,0.04182828666042378,0.027855422725499807,0.03904175782109877,0.19048060812032272,0.04558680199530944,0.04256179069034589,0.007049272757632928,0.09477761959203854,0.18610226667220836,0.05322258033057973,0.19680696029897363,0.016592895301029822,0.13869212610755327,0.45646434828690624,0.04321138555151157,0.11453434065050357,0.014144245731724892,0.01560153054206297,0.010028823750448234,0.02600685912382137,0.06783336907769075,0.11869319472803845,0.10739414681736544,0.06560434623942775,0.014879125261402773,0.032540234706262924,0.058433287104837306,0.14588598992875546,0.002863226246005021,0.007345971016410838,0.12536455601943475,0.0777077430333511,0.053492898333689996,0.08711699824788681,0.08201146679545858,0.0038110935445832203,0.08813923497013013,0.002863226246005021,0.15969414912186283,0.35564970018567965,0.040972963016152386,0.45503682940842227,0.19774472610431254,0.12772450808072416,0.15211126170920336,0.015784289651801883,0.02642192745382454,0.25173262170297106,0.013534929716590122,0.277408843184462,0.2652386851443455,0.04385776565844408,0.044666403325790256,0.10069771764436933,0.07212025179892528,0.09242071943571262,0.013533873142322156,0.319162767209419,0.176529719938844,0.1891702338461745,0.03753300747862777,0.0022832520918330992,0.26877097130544436,0.08947775094847392,0.10987150291057132,
2020-05-25,0.21407766348584897,0.10203395504931888,0.008190948720644025,0.04986356514336947,0.1267789666356722,0.15306453610913034,0.034685591703150595,0.21049896732081816,0.04127664300589902,0.0688408467752656,0.07233546018366838,0.07034135484069934,0.07324625082721524,0.17968889555463585,0.025445561542809865,0.09014394098083417,0.07234625660758608,0.13540332247906714,0.09842943515551891,0.13029877356035818,0.03060257233156887,0.1811893957234076,0.07140741536648047,0.07402495660059276,0.16468011116032352,0.09835739097405176,0.05895074612485138,0.008190948720644025,0.10230461868053785,0.2748176156626089,0.20193214298974524,0.05542027642600308,0.031152863680070524,0.07992077340748734,0.02954777133123813,0.02804489837778331,0.05535876093080887,0.0909404288610526,0.04083688721273903,0.047046937509302625,0.01632124454543083,0.16396399518115898,0.08704628727555502,0.1205254576403922,0.45559086929576786,0.020565308223680856,0.08794660447572707,0.3322144691727199,0.05377872295383378,0.020931213558842567,0.04778065152808232,0.016378434077544562,0.019435822427808724,0.24386042726583643,0.19013127219311274,0.09344971466674167,0.06080931198781555,0.13466734173124345,0.027127103895303102,0.057113851117204566,0.061347615795909416,0.07629070334616565,0.014037154637908836,0.033253510231390775,0.10600694145622364,0.15709663302098115,0.08834186034545428,0.09525900126283011,0.07243989419679206,0.010361167346355834,0.11642230406129062,0.008190948720644025,0.14637538620813995,0.15676317464813744,0.03960605129014887,0.3336579880706592,0.12134124613892844,0.09964955897792513,0.10915799888982573,0.10320320938236043,0.057233755629127935,0.17558804904334802,0.021721470763905015,0.11437681462800052,0.15337599188333223,0.13480442118301786,0.11857549004112061,0.15318728676430265,0.07839123074671696,0.08826527282552404,0.03777832444940167,0.1278512808119198,0.3641313550816029,0.20373864650912385,0.0923906710554853,0.01698746612796673,0.15788416816473633,0.058232936575513254,0.10185700288221736,
2020-05-26,0.1888354147083862,0.08596004095397151,0.005724883083373649,0.0379455642423833,0.040772740057192766,0.08046459942628931,0.003824796531388363,0.06659104963770236,0.07050298115932968,0.057706799430815525,0.07077480239166387,0.032350950986300434,0.0802325402208109,0.16291256940151355,0.020679942468929104,0.10755078876847027,0.09335954772756774,0.14847484705928585,0.26858561405618225,0.09024033853667339,0.1801210182460974,0.08051350108855614,0.058266701197003404,0.07682814579591779,0.09602990510299643,0.1610164324094968,0.049015078521663036,0.004893172599764432,0.08596364307087286,0.14396935415324497,0.04709106853470997,0.1686617337591685,0.14383781311191823,0.18285303113580206,0.02850097433348961,0.011324883715124046,0.07201642608922747,0.10390420977233644,0.0746224085868917,0.03380791538933219,0.003824796531388363,0.26008271643341885,0.0837761163407474,0.16298202953169655,0.21584542153918412,0.020679942468929104,0.1023363607950807,0.1537899451498024,0.05437973189218227,0.00923401572235732,0.005090809025866814,0.012998724588253038,0.008855278851902161,0.45222084939693324,0.07414903151903932,0.08194088868659026,0.07846124069694432,0.10363806801882244,0.05527009817648997,0.15486252333371214,0.09278316939195254,0.24685723946035917,0.015618942435158942,0.022032298136759693,0.08406482882422626,0.07230826311068474,0.03587448053975746,0.11101038322621873,0.06289226859046743,0.0075589876840277195,0.10146502376667345,0.001451378809869376,0.13721218131254623,0.1070174433129926,0.04766814401557874,0.29740716634367814,0.19455617054408156,0.08819059343272065,0.09452062596479577,0.022032298136759693,0.14822474855616535,0.2221939649274868,0.27921874300049276,0.21923455762055993,0.19715455909835838,0.05185301753626967,0.0563929473092329,0.08696555868289908,0.08169304598040683,0.10575919011184838,0.012096330854628443,0.13920069357905013,0.17495002247350042,0.13810230680104688,0.0379455642423833,0.010418567730319756,0.1566838764432739,0.053581714184782324,0.09570728099383147,
2020-05-27,0.2012750038181584,0.11284064476868719,0.0030924455075754514,0.07236157565045291,0.055440177636406594,0.09742785699291599,0.01276679871544205,0.3093268338928364,0.02744303152462351,0.05400093239826313,0.04227135590342994,0.03629938565859116,0.08011339011650098,0.0643778001026827,0.14874195948610988,0.08028214598303106,0.047039016804031254,0.15937401242646057,0.18922732277817253,0.06129833100112616,0.014435210724980881,0.194969090486823,0.12780238055874887,0.0451050268695214,0.07235073225309122,0.044173772293731844,0.025503963301176227,0.0036622460773760215,0.2754568597280311,0.45252026004804186,0.03298245518046612,0.031146315748179807,0.006867686293196987,0.09183148759119311,0.027183760313380972,0.006925285293416779,0.020204319379314755,0.04469689957244892,0.1517281816654047,0.030356179521993865,0.0030924455075754514,0.10780883131246831,0.06439905957356223,0.13106815842701336,0.30361833154513396,0.024347139768900582,0.07873130144376067,0.45133126257654044,0.04018808762336093,0.00519218304038385,0.012018352505322313,0.013415663110065581,0.008242328126248406,0.2644577235899215,0.10274631839259918,0.08338341596642021,0.02161365561316605,0.25835389216275423,0.017610488546276407,0.11385161027546002,0.03850494323492675,0.11944192917810503,0.00999061973483629,0.014811058080840492,0.07978992986367724,0.152940324142069,0.04347066360997622,0.08665569592591549,0.05480937068037424,0.004946964231684007,0.06533057766412066,0.0030924455075754514,0.11197775825778894,0.3036844012003574,0.032832545091220015,0.2528541328172536,0.12792813829290767,0.19834542702226735,0.09994053458442045,0.08805446768313036,0.15619287632984585,0.18110157352357978,0.0066462199763358916,0.1113847392032075,0.11862987028202893,0.031080987457685824,0.03439274807235222,0.06570026970766672,0.054707518392846086,0.13584317085614064,0.010918350336372278,0.20616498380686143,0.14044130485903833,0.2913063754609144,0.050092986352327444,0.005338653109487544,0.1580173635235485,0.023058529295589145,0.07367290021895107,
2020-05-28,0.09883923148624328,0.09201886748846513,0.0027555841001201424,0.06910103897459888,0.04513057090904486,0.05602515390558365,0.011027269726862314,0.322131636087522,0.053336627083820295,0.0688393384016181,0.054268135441705175,0.03194857589458998,0.16038014590138644,0.18764536802243367,0.027750209290376002,0.09707751452303207,0.052098654291961886,0.06997480368027319,0.26193928721794363,0.1223839247084661,0.030971925410401356,0.05842852614504542,0.058235277638422775,0.04712823421452848,0.08891491918274302,0.04553538622562914,0.051578133600759385,0.0027555841001201424,0.16852389592282263,0.1099595067856391,0.028854880866615144,0.04041973487801686,0.010119896853051532,0.0715325494560827,0.024022786800822225,0.019641333793671348,0.021750452035549765,0.05389586305369598,0.029201368976229578,0.027888896024732733,0.0009506442021462244,0.10638340918325466,0.08844148436332021,0.1848999283291804,0.15042503542273106,0.1888049726358857,0.0612262917256764,0.5146576864151516,0.04956537034166549,0.027271511408558713,0.00997343239260582,0.03660895304608953,0.0389515688649626,0.13577047021565172,0.3203197509649829,0.13002895256162278,0.07497167767516487,0.08233917878891049,0.040781300047200805,0.03954590898092698,0.18480758505811876,0.05951538423739648,0.0045831228346248564,0.02470467515687698,0.12411270969403673,0.09320624723171073,0.13464763276257005,0.0905386273787355,0.04077815831782742,0.001952047442355435,0.11531912588582195,0.0009506442021462244,0.15652907745907313,0.2838510356871205,0.046944245766110816,0.42658707512354826,0.10933244194006672,0.11765961807383264,0.072486023590346,0.06947462452945666,0.0521226624555421,0.14403996709083725,0.013054536595238224,0.13891965900605402,0.14373148481033365,0.06943461495685922,0.06460721552527514,0.058610572230808074,0.05801794797876876,0.08645443994219884,0.03338913815069702,0.2040250781557947,0.06559262998138297,0.17060510410469704,0.06910103897459888,0.010573512886784752,0.18099668839773886,0.03432495806737292,0.1516782889559436,
2020-05-29,0.22815543961838428,0.06902934098392914,0.0026592108078186214,0.03137110827736882,0.07688679504043153,0.10580554941754096,0.016401782568188687,0.15411924453200188,0.1312559291355032,0.06286099108106648,0.05417333148807014,0.22487603912054613,0.26461702095161377,0.02262181211817844,0.1909540669652165,0.08118136950270044,0.05543922312462826,0.10497644206863428,0.14812099031443623,0.14895256468078655,0.021044708340560627,0.13288214977036839,0.123446129980991,0.06756124954809134,0.10406877419795926,0.04679359319474339,0.06501697680453399,0.04710365525226306,0.1422742642394134,0.18570614443931935,0.03645468753385575,0.06440038012792298,0.04935271577978211,0.21677303985118315,0.2478828015836726,0.0172445114410953,0.03712723177050709,0.06535865277256521,0.049989960122245464,0.03136783746281389,0.0025927004186045394,0.12520833247845847,0.11254291586256797,0.09313476655669246,0.14042001419180083,0.2078251030746508,0.10783352719486043,0.4858098246887034,0.1253329402158974,0.09654323936684431,0.015343957618414365,0.0845751187317838,0.031729023689684485,0.0953003985819454,0.12259060154045957,0.1472448746841494,0.0519055361470281,0.09814885191527503,0.02715230296121714,0.11599524970410606,0.09492027798407612,0.08514735860507504,0.0824458771158011,0.048062565307955114,0.1668673552500617,0.16397680792613917,0.04935051178290393,0.10393240701002006,0.08840383216298485,0.010654084740171233,0.21396232892186193,0.002280422929030743,0.1878651511048053,0.2960295854722663,0.060059112333708455,0.16923004157248342,0.17319654218545744,0.12575716897403216,0.08377411711447916,0.0851118080550633,0.05849928722028176,0.1250346471670215,0.024230160581194,0.0957326594836617,0.09424435574597917,0.10796968692446031,0.060533832841728814,0.09902094121656761,0.09310188160382525,0.07565394675623337,0.023999178571313604,0.1142588854987855,0.09604784497726297,0.22676221394616153,0.03048218853272885,0.004947089595697409,0.13460170370574062,0.057245042365622535,0.20790651505926805,
